Model,Accuracy,F1 Score,Training Time (s)
XGBoost,0.8662244333886125,0.7082931533269046,0.5033464431762695
Random Forest,0.860033167495854,0.6809475806451613,0.5245637893676758
Decision Tree,0.8489773355444997,0.6607054148037754,0.26412367820739746
Logistic Regression,0.845992260917634,0.658159509202454,0.4136776924133301
SVM,0.845771144278607,0.654275092936803,0.20975399017333984
KNN,0.8338308457711443,0.642738293320656,0.05598807334899902
